match_id,inning,batting_team,bowling_team,over,season,who_is_batting_first,total_runs,is_wicket,run_rate,target_runs,target_left,req_runrate,curr_run_rate,weighted_run_rate,season_year
335983,1,0,9,14,2007/08,Chennai Super Kings,10,0,10.214285714285714,0,0,0.0,10,9.94,2007
335983,1,0,9,15,2007/08,Chennai Super Kings,18,0,10.733333333333333,0,0,0.0,18,15.58,2007
335983,1,0,9,16,2007/08,Chennai Super Kings,8,1,10.5625,0,0,0.0,8,10.27,2007
335983,1,0,9,17,2007/08,Chennai Super Kings,14,0,10.764705882352942,0,0,0.0,14,12.88,2007
335983,1,0,9,18,2007/08,Chennai Super Kings,17,0,11.11111111111111,0,0,0.0,17,15.76,2007
335983,1,0,9,19,2007/08,Chennai Super Kings,15,0,11.31578947368421,0,0,0.0,15,15.23,2007
335983,1,0,9,20,2007/08,Chennai Super Kings,25,0,12.0,0,0,0.0,25,22.07,2007
335983,2,9,0,1,2007/08,Chennai Super Kings,9,0,9.0,241,232,11.6,9,9.0,2007
335983,2,9,0,2,2007/08,Chennai Super Kings,7,0,8.0,241,225,11.842105263157896,7,7.6,2007
335983,2,9,0,3,2007/08,Chennai Super Kings,11,0,9.0,241,214,11.88888888888889,11,9.98,2007
335983,2,9,0,4,2007/08,Chennai Super Kings,10,0,9.25,241,204,12.0,10,9.99,2007
335983,2,9,0,5,2007/08,Chennai Super Kings,10,0,9.4,241,194,12.125,10,10.0,2007
335983,2,9,0,6,2007/08,Chennai Super Kings,16,1,10.5,241,178,11.866666666666667,16,14.2,2007
335983,2,9,0,7,2007/08,Chennai Super Kings,6,0,9.857142857142858,241,172,12.285714285714286,6,8.46,2007
335983,2,9,0,8,2007/08,Chennai Super Kings,15,0,10.5,241,157,12.076923076923077,15,13.04,2007
335983,2,9,0,9,2007/08,Chennai Super Kings,13,0,10.77777777777778,241,144,12.0,13,13.01,2007
335983,2,9,0,10,2007/08,Chennai Super Kings,13,0,11.0,241,131,11.909090909090908,13,13.0,2007
335983,2,9,0,11,2007/08,Chennai Super Kings,5,1,10.454545454545457,241,126,12.6,5,7.4,2007
335983,2,9,0,12,2007/08,Chennai Super Kings,12,0,10.583333333333334,241,114,12.666666666666666,12,10.62,2007
335983,2,9,0,13,2007/08,Chennai Super Kings,14,0,10.846153846153848,241,100,12.5,14,12.99,2007
335983,2,9,0,14,2007/08,Chennai Super Kings,11,0,10.857142857142858,241,89,12.714285714285714,11,11.6,2007
335983,2,9,0,15,2007/08,Chennai Super Kings,13,1,11.0,241,76,12.666666666666666,13,12.58,2007
335983,2,9,0,16,2007/08,Chennai Super Kings,11,0,11.0,241,65,13.0,11,11.47,2007
335983,2,9,0,17,2007/08,Chennai Super Kings,10,0,10.941176470588236,241,55,13.75,10,10.44,2007
335983,2,9,0,18,2007/08,Chennai Super Kings,5,1,10.61111111111111,241,50,16.666666666666668,5,6.63,2007
335983,2,9,0,19,2007/08,Chennai Super Kings,7,0,10.421052631578949,241,43,21.5,7,6.89,2007
335983,2,9,0,20,2007/08,Chennai Super Kings,9,0,10.35,241,34,0.0,9,8.37,2007
335986,1,13,5,1,2007/08,Sunrisers Hyderabad,9,0,9.0,0,0,0.0,9,9.0,2007
335986,1,13,5,2,2007/08,Sunrisers Hyderabad,5,0,7.0,0,0,0.0,5,6.2,2007
335986,1,13,5,3,2007/08,Sunrisers Hyderabad,7,0,7.0,0,0,0.0,7,6.76,2007
335986,1,13,5,4,2007/08,Sunrisers Hyderabad,0,1,5.25,0,0,0.0,0,2.03,2007
335986,1,13,5,5,2007/08,Sunrisers Hyderabad,2,1,4.6,0,0,0.0,2,2.01,2007
335986,1,13,5,6,2007/08,Sunrisers Hyderabad,16,0,6.5,0,0,0.0,16,11.8,2007
335986,1,13,5,7,2007/08,Sunrisers Hyderabad,6,0,6.428571428571429,0,0,0.0,6,7.74,2007
335986,1,13,5,8,2007/08,Sunrisers Hyderabad,2,0,5.875,0,0,0.0,2,3.72,2007
335986,1,13,5,9,2007/08,Sunrisers Hyderabad,1,2,5.333333333333333,0,0,0.0,1,1.82,2007
335986,1,13,5,10,2007/08,Sunrisers Hyderabad,4,0,5.2,0,0,0.0,4,3.35,2007
335986,1,13,5,11,2007/08,Sunrisers Hyderabad,5,0,5.181818181818182,0,0,0.0,5,4.5,2007
335986,1,13,5,12,2007/08,Sunrisers Hyderabad,2,1,4.916666666666667,0,0,0.0,2,2.75,2007
335986,1,13,5,13,2007/08,Sunrisers Hyderabad,3,0,4.769230769230769,0,0,0.0,3,2.93,2007
335986,1,13,5,14,2007/08,Sunrisers Hyderabad,3,0,4.642857142857143,0,0,0.0,3,2.98,2007
335986,1,13,5,15,2007/08,Sunrisers Hyderabad,12,1,5.133333333333334,0,0,0.0,12,9.29,2007
335986,1,13,5,16,2007/08,Sunrisers Hyderabad,5,0,5.125,0,0,0.0,5,6.29,2007
335986,1,13,5,17,2007/08,Sunrisers Hyderabad,20,0,6.0,0,0,0.0,20,15.89,2007
335986,1,13,5,18,2007/08,Sunrisers Hyderabad,3,2,5.833333333333333,0,0,0.0,3,6.87,2007
335986,1,13,5,19,2007/08,Sunrisers Hyderabad,5,2,5.789473684210527,0,0,0.0,5,5.56,2007
335986,2,5,13,1,2007/08,Sunrisers Hyderabad,6,0,6.0,111,105,5.25,6,6.0,2007
335986,2,5,13,2,2007/08,Sunrisers Hyderabad,10,1,8.0,111,95,5.0,10,8.8,2007
335986,2,5,13,3,2007/08,Sunrisers Hyderabad,2,1,6.0,111,93,5.166666666666667,2,4.04,2007
335986,2,5,13,4,2007/08,Sunrisers Hyderabad,3,0,5.25,111,90,5.294117647058823,3,3.31,2007
335986,2,5,13,5,2007/08,Sunrisers Hyderabad,2,1,4.6,111,88,5.5,2,2.39,2007
335986,2,5,13,6,2007/08,Sunrisers Hyderabad,3,0,4.333333333333333,111,85,5.666666666666667,3,2.82,2007
335986,2,5,13,7,2007/08,Sunrisers Hyderabad,7,0,4.714285714285714,111,78,5.571428571428571,7,5.75,2007
335986,2,5,13,8,2007/08,Sunrisers Hyderabad,1,0,4.25,111,77,5.923076923076923,1,2.42,2007
335986,2,5,13,9,2007/08,Sunrisers Hyderabad,1,0,3.888888888888889,111,76,6.333333333333333,1,1.43,2007
335986,2,5,13,10,2007/08,Sunrisers Hyderabad,3,0,3.8,111,73,6.636363636363637,3,2.53,2007
335986,2,5,13,11,2007/08,Sunrisers Hyderabad,11,0,4.454545454545454,111,62,6.2,11,8.46,2007
335986,2,5,13,12,2007/08,Sunrisers Hyderabad,15,0,5.333333333333333,111,47,5.222222222222222,15,13.04,2007
335986,2,5,13,13,2007/08,Sunrisers Hyderabad,4,1,5.230769230769231,111,43,5.375,4,6.71,2007
