match_id,inning,batting_team,bowling_team,over,season,who_is_batting_first,total_runs,is_wicket
335983,1,Chennai Super Kings,Punjab Kings,18,2007/08,Chennai Super Kings,15,0
335983,1,Chennai Super Kings,Punjab Kings,19,2007/08,Chennai Super Kings,25,0
335983,2,Punjab Kings,Chennai Super Kings,0,2007/08,Chennai Super Kings,9,0
335983,2,Punjab Kings,Chennai Super Kings,1,2007/08,Chennai Super Kings,7,0
335983,2,Punjab Kings,Chennai Super Kings,2,2007/08,Chennai Super Kings,11,0
335983,2,Punjab Kings,Chennai Super Kings,3,2007/08,Chennai Super Kings,10,0
335983,2,Punjab Kings,Chennai Super Kings,4,2007/08,Chennai Super Kings,10,0
335983,2,Punjab Kings,Chennai Super Kings,5,2007/08,Chennai Super Kings,16,1
335983,2,Punjab Kings,Chennai Super Kings,6,2007/08,Chennai Super Kings,6,0
335983,2,Punjab Kings,Chennai Super Kings,7,2007/08,Chennai Super Kings,15,0
335983,2,Punjab Kings,Chennai Super Kings,8,2007/08,Chennai Super Kings,13,0
335983,2,Punjab Kings,Chennai Super Kings,9,2007/08,Chennai Super Kings,13,0
335983,2,Punjab Kings,Chennai Super Kings,10,2007/08,Chennai Super Kings,5,1
335983,2,Punjab Kings,Chennai Super Kings,11,2007/08,Chennai Super Kings,12,0
335983,2,Punjab Kings,Chennai Super Kings,12,2007/08,Chennai Super Kings,14,0
335983,2,Punjab Kings,Chennai Super Kings,13,2007/08,Chennai Super Kings,11,0
335983,2,Punjab Kings,Chennai Super Kings,14,2007/08,Chennai Super Kings,13,1
335983,2,Punjab Kings,Chennai Super Kings,15,2007/08,Chennai Super Kings,11,0
335983,2,Punjab Kings,Chennai Super Kings,16,2007/08,Chennai Super Kings,10,0
335983,2,Punjab Kings,Chennai Super Kings,17,2007/08,Chennai Super Kings,5,1
335983,2,Punjab Kings,Chennai Super Kings,18,2007/08,Chennai Super Kings,7,0
335983,2,Punjab Kings,Chennai Super Kings,19,2007/08,Chennai Super Kings,9,0
335984,1,Rajasthan Royals,Delhi Capitals,0,2007/08,Rajasthan Royals,7,0
335984,1,Rajasthan Royals,Delhi Capitals,1,2007/08,Rajasthan Royals,10,0
335984,1,Rajasthan Royals,Delhi Capitals,2,2007/08,Rajasthan Royals,0,1
335984,1,Rajasthan Royals,Delhi Capitals,3,2007/08,Rajasthan Royals,14,1
335984,1,Rajasthan Royals,Delhi Capitals,4,2007/08,Rajasthan Royals,6,0
335984,1,Rajasthan Royals,Delhi Capitals,5,2007/08,Rajasthan Royals,3,0
335984,1,Rajasthan Royals,Delhi Capitals,6,2007/08,Rajasthan Royals,4,1
335984,1,Rajasthan Royals,Delhi Capitals,7,2007/08,Rajasthan Royals,4,1
335984,1,Rajasthan Royals,Delhi Capitals,8,2007/08,Rajasthan Royals,3,0
335984,1,Rajasthan Royals,Delhi Capitals,9,2007/08,Rajasthan Royals,6,0
335984,1,Rajasthan Royals,Delhi Capitals,10,2007/08,Rajasthan Royals,2,1
335984,1,Rajasthan Royals,Delhi Capitals,11,2007/08,Rajasthan Royals,12,0
335984,1,Rajasthan Royals,Delhi Capitals,12,2007/08,Rajasthan Royals,9,1
335984,1,Rajasthan Royals,Delhi Capitals,13,2007/08,Rajasthan Royals,7,0
335984,1,Rajasthan Royals,Delhi Capitals,14,2007/08,Rajasthan Royals,9,1
335984,1,Rajasthan Royals,Delhi Capitals,15,2007/08,Rajasthan Royals,10,0
335984,1,Rajasthan Royals,Delhi Capitals,16,2007/08,Rajasthan Royals,4,0
335984,1,Rajasthan Royals,Delhi Capitals,17,2007/08,Rajasthan Royals,1,1
335984,1,Rajasthan Royals,Delhi Capitals,18,2007/08,Rajasthan Royals,10,0
335984,1,Rajasthan Royals,Delhi Capitals,19,2007/08,Rajasthan Royals,8,0
335984,2,Delhi Capitals,Rajasthan Royals,0,2007/08,Rajasthan Royals,8,0
335984,2,Delhi Capitals,Rajasthan Royals,1,2007/08,Rajasthan Royals,13,1
335984,2,Delhi Capitals,Rajasthan Royals,2,2007/08,Rajasthan Royals,5,0
335984,2,Delhi Capitals,Rajasthan Royals,3,2007/08,Rajasthan Royals,10,0
335984,2,Delhi Capitals,Rajasthan Royals,4,2007/08,Rajasthan Royals,12,0
335984,2,Delhi Capitals,Rajasthan Royals,5,2007/08,Rajasthan Royals,7,0
335984,2,Delhi Capitals,Rajasthan Royals,6,2007/08,Rajasthan Royals,4,0
335984,2,Delhi Capitals,Rajasthan Royals,7,2007/08,Rajasthan Royals,12,0
335984,2,Delhi Capitals,Rajasthan Royals,8,2007/08,Rajasthan Royals,7,0
335984,2,Delhi Capitals,Rajasthan Royals,9,2007/08,Rajasthan Royals,8,0
335984,2,Delhi Capitals,Rajasthan Royals,10,2007/08,Rajasthan Royals,9,0
335984,2,Delhi Capitals,Rajasthan Royals,11,2007/08,Rajasthan Royals,5,0
335984,2,Delhi Capitals,Rajasthan Royals,12,2007/08,Rajasthan Royals,11,0
335984,2,Delhi Capitals,Rajasthan Royals,13,2007/08,Rajasthan Royals,4,0
335984,2,Delhi Capitals,Rajasthan Royals,14,2007/08,Rajasthan Royals,13,0
335984,2,Delhi Capitals,Rajasthan Royals,15,2007/08,Rajasthan Royals,4,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,0,2007/08,Mumbai Indians,8,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,1,2007/08,Mumbai Indians,5,1
